시장형태,등록형태,시도,시군구,시장명,주소(지번),주소(도로명),"시장크기 (1=대형시장, 2=중대형시장, 3=중형시장, 4=소형시장)","시장면적(단위선택: 1=제곱미터, 2=평형)",시장면적(㎡),시장면적(평),"소유형태(1=법인시장, 2=개인시장, 3=공설시장, 4=공동시장)","외부형태(전통시장: 1=상가건물형, 2=노점형, 3=장옥형, 4=상가주택형)","개설주기(1=상설, 2=정기, 3=상설+정기)", 정기(장날1), 정기(장날2),상설+정기(장날1), 상설+정기(장날2),전체점포수,영업점포수(합),영업점포수(임차점포수),비영업 점포수(빈점포),비영업 점포수(기타점포), 노점수,2017년-점포소유상인,2017년-점포임차상인,2017년-종업원수,2017년-노점상인수,2017년-총시장상인," 상인회 운영여부(1=운영, 2=미운영)"," 상인회 조직형태(1=시군구청 등록 상인회, 2=상점가진흥조합, 3=사업조합 또는 협동조합, 4=사단법인, 5=임의단체)",상근직원 명수,상인회 회원 수,"보유현황 - 1고객지원센터(1=있음, 2=없음)","보유현황 - 2유아놀이방(어린이놀이터)(1=있음, 2=없음)","보유현황 - 4고객휴게실(1=있음, 2=없음)","보유현황 - 5수유센터(1=있음, 2=없음)","보유현황 - 6물품보관함(1=있음, 2=없음)","보유현황 - 7자전거보관함(1=있음, 2=없음)","보유현황 - 10쇼핑카트(1=있음, 2=없음)","문2) 보유현황 - 12고객동선통로(1=있음, 2=없음)","보유현황 - 16시장전용 고객주차장(1=있음, 2=없음)",보유갯수 - 16시장전용 고객주차장,"보유여부 - 2소화전(1=있음, 2=없음)",보유개수-2소화전,"보유여부 - 3공용소화기(1=있음, 2=없음)",보유개수 - 3공용소화기,"보유여부 - 5경보기(1=있음, 2=없음)",보유개수 - 5경보기,"화재/가스감지센서(1=있음, 2=없음)",보유개수 -화재/가스 감지센서,"보유여부 - 7자동 화재속보 설비(1=있음, 2=없음)",보유개수 - 7자동화재속보설비,"보유여부 - 1CCTV(1=있음, 2=없음)","보유여부 - 2공동수도시설(노점/장옥형)(1=있음, 2=없음)","보유여부 - 3공동화장실(1=있음, 2=없음)",보유개수 -3공동화장실,"보유여부 - 4아케이드(1=있음, 2=없음)","보유여부 - 5냉방시설(1=있음, 2=없음)","보유여부 - 6난방시설(1=있음, 2=없음)","보유여부 - 7가스시설(1=있음, 2=없음)","보유여부 - 8엘리베이터/에스컬레이터(건물형만)(1=있음, 2=없음)","보유여부 - 9장애인용 화장실(1=있음, 2=없음)","보유여부 - 10배수시설(1=있음, 2=없음)","보유여부 - 11실외 가로등(1=있음, 2=없음)","보유여부 - 12전기배선시설(1=있음, 2=없음)","보유여부 - 13건물실내조명 (LED조명 설치 여부)(1=LED조명, 2=형광등 및 백열등)","보유여부 - 13건물실내조명 (LED조명 설치 여부)(1=LED조명, 2=형광등 및 백열등)","보유여부 - 1이동/고정식,이벤트 광장(1=있음, 2=없음)","보유여부 - 2테마거리(1=있음, 2=없음)","보유여부 - 3TV광고판(1=있음, 2=없음)","보유여부 - 4LED광고판(1=있음, 2=없음)","보유여부 - 6아치/조형물(1=있음, 2=없음)","시장/상점가의 주력 상품 여부(1=있음, 2=없음)","시장/상점가의 주력 상품의 개수(1=1개, 2=2개, 3=3개, 4=4개 이상)",시장/상점가의 주력 상품의 상품명
전통시장,인정,강원,양양군,양양전통시장,강원도 양양군 남문리 57,강원도 양양군 양양읍 남문5길 9,4,1,"4,781",,1,1,3,,,4,9,63,63,21,0,0,148,42,21,28,148,239,1,1,4,63,1,2,1,1,1,2,2,2,1,1,1,2,1,100,1,14,1,80,1,1,1,,1,2,1,1,1,1,2,1,1,1,1,1,,1,2,1,1,1,2,,
전통시장,인정,강원,영월군,서부공설시장,강원도 영월군 영월읍 하송리 5-10,강원도 영월군 영월읍 서부시장길 8-1,4,1,"4,279",,3,1,1,,,,,40,40,15,0,0,7,25,15,16,7,63,1,1,1,40,1,2,2,2,2,2,1,2,1,2,1,50,1,20,1,8,1,8,1,8,1,,1,1,1,1,1,1,2,1,1,1,1,1,,2,2,1,1,1,1,1,닭강정
전통시장,인정,강원,영월군,영월서부시장,강원도 영월군 영월읍 영흥리 947-57,강원도 영월군 중앙로 30-1,4,1,"12,215",,4,4,1,,,,,17,17,14,0,0,0,3,14,3,0,20,1,1,50,17,1,2,2,2,2,2,2,2,1,1,1,3,1,1,1,5,1,10,2,,1,,1,1,1,,,1,,1,1,1,1,1,2,2,2,2,2,1,1,1,전병
전통시장,인정,강원,영월군,영월종합상가시장,강원도 영월군 영월읍 하송리 11-3,강원도 영월군 영월읍 하송안 길,4,1,"5,376",,1,1,1,,,,,90,87,64,3,0,7,23,64,78,7,172,1,3,3,87,1,2,2,2,2,2,1,1,1,2,1,6,1,30,1,1,1,10,1,1,1,,1,1,1,1,1,1,2,1,1,1,1,1,,2,2,2,1,1,1,1,닭발
전통시장,인정,강원,영월군,영월중앙시장,강원도 영월군 영원읍 영흥리 931,강원도 영월군 영원읍 제방안길 16-1,4,2,"3,300",1000,3,3,1,,,,,26,26,10,0,0,0,16,10,21,0,47,2,,,,2,2,2,2,2,2,2,2,2,,2,,2,,2,,2,,2,,2,2,2,,2,,,2,,2,2,2,2,1,2,2,2,2,2,2,2,,
전통시장,인정,강원,원주시,문막시장,강원도 원주시 문막읍 문막리 240-1,강원도 원주시  문막읍 문막시장1길 52-10,4,1,"13,855",,3,1,3,,,3,8,79,67,27,7,5,10,40,27,77,10,154,1,1,,36,2,2,2,2,2,2,2,2,2,,1,4,1,1,2,,2,,2,,2,,1,1,2,2,2,1,2,1,1,1,1,,2,2,2,2,1,2,2,,
전통시장,등록,강원,원주시,미로예술원주중앙시장(원주중앙시장),강원도 원주시 중앙동 60-56,강원도 원주시 중앙시장길 6,3,1,"7,622",,1,1,1,,,,,298,263,75,10,25,14,188,75,55,14,332,1,1,1,263,2,2,2,1,1,2,2,1,1,1,1,2,1,30,1,2,1,2,1,2,1,,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,소고기 숯불구이  올챙이 국수
전통시장,인정,강원,원주시,민속풍물시장,강원도 원주시 평원동 134-1,강원도 원주시 풍물시장길 30,4,1,"32,395",,4,1,3,,,2,7,103,82,17,1,20,1,65,17,115,1,198,1,5,1,82,2,2,2,2,2,2,2,2,1,1,1,4,1,100,1,1,1,40,1,1,1,,1,2,2,2,2,1,2,2,1,1,1,1,,2,2,2,1,1,2,,
전통시장,등록,강원,원주시,북원상가시장,강원도 원주시 태장2동 1379-23,강원도 원주시 북원상가길 13,4,1,"2,804",,1,4,1,,,,,52,49,36,3,0,0,13,36,3,0,52,1,1,5,47,1,2,2,2,2,1,1,2,1,2,1,10,1,40,1,1,1,1,1,1,1,,1,6,2,,,1,,1,1,1,1,1,2,2,2,2,1,2,2,,
전통시장,등록,강원,원주시,원주남부시장,강원도 원주시 명륜동 26,강원도 원주시 치악로 1803,3,1,"6,263",,1,4,1,,,,,216,206,37,10,0,0,169,37,144,0,350,1,1,1,169,1,2,1,2,2,1,2,1,1,2,1,13,1,220,1,2,1,3,1,3,1,,1,4,2,,,1,,1,1,1,1,1,2,1,2,1,1,1,2,,
